admin2Name_fr,admin2Pcode,admin2RefName,admin2Name_MAJ,admin2AltName1_fr,admin2AltName2_fr,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,F,M,T,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80plus
Mandoul Occidental,TD1003,Mandoul Occidental,MANDOUL OCCIDENTAL,<Null>,<Null>,Mandoul,TD10,Tchad,TD,115331 ,113321 ,228652 ,21634 ,18124 ,15522 ,13662 ,9214 ,6810 ,6704 ,5966 ,4770 ,3820 ,2865 ,2129 ,1541 ,1084 ,733 ,440 ,313 ,22601 ,18904 ,15779 ,14054 ,10040 ,7221 ,5330 ,4207 ,3735 ,3194 ,2577 ,2012 ,1454 ,1007 ,600 ,334 ,272 ,44234 ,37028 ,31301 ,27715 ,19254 ,14031 ,12034 ,10173 ,8505 ,7015 ,5442 ,4140 ,2996 ,2091 ,1332 ,774 ,585 
Mayo-Boneye,TD1101,Mayo-Boneye,MAYO-BONEYE,<Null>,<Null>,Mayo-Kebbi Est,TD11,Tchad,TD,178149 ,171083 ,349232 ,34440 ,27797 ,22356 ,20387 ,15592 ,12104 ,10213 ,8430 ,6594 ,5287 ,4201 ,3308 ,2589 ,1942 ,1367 ,859 ,683 ,35980 ,28994 ,22438 ,20208 ,15299 ,11359 ,8141 ,6194 ,5123 ,4270 ,3566 ,2903 ,2242 ,1688 ,1158 ,750 ,770 ,70421 ,56791 ,44793 ,40596 ,30891 ,23463 ,18353 ,14625 ,11717 ,9557 ,7767 ,6211 ,4832 ,3630 ,2525 ,1608 ,1453 
Kabbia,TD1102,Kabbia,KABBIA,<Null>,<Null>,Mayo-Kebbi Est,TD11,Tchad,TD,172764 ,165913 ,338677 ,33399 ,26957 ,21680 ,19771 ,15121 ,11738 ,9904 ,8175 ,6395 ,5127 ,4074 ,3208 ,2511 ,1884 ,1325 ,833 ,662 ,34893 ,28118 ,21759 ,19598 ,14836 ,11016 ,7895 ,6007 ,4968 ,4141 ,3458 ,2815 ,2175 ,1637 ,1123 ,727 ,747 ,68292 ,55074 ,43439 ,39368 ,29957 ,22754 ,17799 ,14183 ,11363 ,9268 ,7532 ,6023 ,4685 ,3520 ,2448 ,1560 ,1409 
Mayo-Lemié,TD1103,Mayo-Lemie,MAYO-LEMIE,<Null>,<Null>,Mayo-Kebbi Est,TD11,Tchad,TD,61946 ,59491 ,121437 ,11976 ,9666 ,7774 ,7089 ,5422 ,4209 ,3551 ,2931 ,2293 ,1838 ,1461 ,1150 ,900 ,675 ,475 ,299 ,237 ,12511 ,10082 ,7802 ,7027 ,5320 ,3950 ,2831 ,2154 ,1781 ,1485 ,1240 ,1009 ,780 ,587 ,403 ,261 ,268 ,24487 ,19748 ,15576 ,14116 ,10741 ,8159 ,6382 ,5085 ,4074 ,3323 ,2701 ,2160 ,1680 ,1262 ,878 ,559 ,505 
Mont Illi,TD1104,Mont Illi,MONT ILLI,<Null>,<Null>,Mayo-Kebbi Est,TD11,Tchad,TD,172080 ,165253 ,337333 ,33267 ,26850 ,21594 ,19693 ,15061 ,11692 ,9865 ,8143 ,6369 ,5107 ,4058 ,3195 ,2501 ,1876 ,1320 ,829 ,660 ,34755 ,28006 ,21673 ,19520 ,14777 ,10972 ,7864 ,5983 ,4949 ,4124 ,3444 ,2804 ,2166 ,1630 ,1118 ,724 ,744 ,68022 ,54857 ,43267 ,39213 ,29839 ,22664 ,17728 ,14126 ,11318 ,9232 ,7502 ,5999 ,4667 ,3506 ,2438 ,1554 ,1404 
Mayo-Dallah,TD1201,Mayo-Dallah,MAYO-DALLAH,<Null>,<Null>,Mayo-Kebbi Ouest,TD12,Tchad,TD,253779 ,247562 ,501341 ,49935 ,40227 ,32760 ,29148 ,22322 ,17586 ,15250 ,12534 ,9085 ,6887 ,5400 ,4129 ,2994 ,2147 ,1516 ,971 ,888 ,52168 ,41960 ,32609 ,28671 ,22359 ,17170 ,12475 ,9471 ,7453 ,6019 ,5058 ,4052 ,2948 ,2102 ,1355 ,835 ,857 ,102102 ,82186 ,65369 ,57819 ,44681 ,34757 ,27725 ,22004 ,16537 ,12907 ,10458 ,8181 ,5942 ,4248 ,2871 ,1806 ,1745 
Lac Léré,TD1202,Lac Lere,LAC LERE,<Null>,<Null>,Mayo-Kebbi Ouest,TD12,Tchad,TD,132538 ,129293 ,261831 ,26079 ,21009 ,17109 ,15223 ,11658 ,9185 ,7964 ,6546 ,4745 ,3597 ,2820 ,2156 ,1563 ,1121 ,792 ,507 ,464 ,27245 ,21914 ,17031 ,14974 ,11677 ,8967 ,6515 ,4946 ,3892 ,3144 ,2642 ,2116 ,1540 ,1098 ,708 ,436 ,448 ,53324 ,42923 ,34140 ,30197 ,23335 ,18152 ,14479 ,11492 ,8637 ,6741 ,5462 ,4273 ,3103 ,2219 ,1499 ,943 ,911 
Mayo-Binder,TD1203,Mayo-Binder,MAYO-BINDER,<Null>,<Null>,Mayo-Kebbi Ouest,TD12,Tchad,TD,41624 ,40602 ,82226 ,8190 ,6598 ,5373 ,4781 ,3661 ,2884 ,2501 ,2056 ,1490 ,1130 ,886 ,677 ,491 ,352 ,249 ,159 ,146 ,8556 ,6882 ,5348 ,4702 ,3667 ,2816 ,2046 ,1553 ,1222 ,987 ,830 ,665 ,483 ,345 ,222 ,137 ,141 ,16746 ,13479 ,10721 ,9483 ,7328 ,5700 ,4547 ,3609 ,2712 ,2117 ,1715 ,1342 ,974 ,697 ,471 ,296 ,286 
Bahr-Köh,TD1301,Bahr-Koh,BAHR-KOH,<Null>,<Null>,Moyen-Chari,TD13,Tchad,TD,228542 ,229410 ,457952 ,44469 ,36724 ,29091 ,25660 ,19352 ,15221 ,13576 ,11528 ,9122 ,7216 ,5346 ,3911 ,2747 ,1896 ,1291 ,786 ,606 ,46458 ,38306 ,29828 ,26398 ,20002 ,15166 ,11538 ,9190 ,7681 ,6490 ,5646 ,4569 ,3230 ,2215 ,1348 ,755 ,590 ,90928 ,75030 ,58918 ,52058 ,39354 ,30388 ,25115 ,20718 ,16803 ,13706 ,10991 ,8480 ,5978 ,4112 ,2638 ,1540 ,1196 
Grande Sido,TD1302,Grande Sido,GRANDE SIDO,<Null>,<Null>,Moyen-Chari,TD13,Tchad,TD,79743 ,80046 ,159789 ,15516 ,12814 ,10150 ,8953 ,6752 ,5311 ,4737 ,4022 ,3183 ,2518 ,1865 ,1365 ,959 ,662 ,450 ,274 ,212 ,16210 ,13366 ,10407 ,9211 ,6979 ,5292 ,4026 ,3207 ,2680 ,2265 ,1970 ,1594 ,1127 ,773 ,470 ,263 ,206 ,31726 ,26179 ,20557 ,18164 ,13731 ,10603 ,8763 ,7229 ,5863 ,4782 ,3835 ,2959 ,2086 ,1435 ,921 ,537 ,417 
Lac Iro,TD1303,Lac Iro,LAC IRO,<Null>,<Null>,Moyen-Chari,TD13,Tchad,TD,129772 ,130266 ,260038 ,25251 ,20853 ,16518 ,14570 ,10989 ,8643 ,7709 ,6546 ,5180 ,4097 ,3035 ,2221 ,1560 ,1077 ,733 ,446 ,344 ,26380 ,21751 ,16937 ,14990 ,11358 ,8612 ,6552 ,5218 ,4362 ,3685 ,3206 ,2594 ,1834 ,1258 ,765 ,429 ,335 ,51631 ,42604 ,33455 ,29560 ,22346 ,17255 ,14261 ,11764 ,9541 ,7783 ,6241 ,4815 ,3394 ,2335 ,1498 ,875 ,679 
Ouara,TD1401,Ouara,OUARA,<Null>,<Null>,Ouaddaï,TD14,Tchad,TD,247031 ,240105 ,487136 ,47420 ,39549 ,31025 ,28263 ,20411 ,15509 ,14552 ,12709 ,10273 ,8220 ,6064 ,4395 ,2894 ,1994 ,1585 ,1089 ,1079 ,49540 ,41252 ,31673 ,28955 ,20923 ,14787 ,10266 ,7985 ,7696 ,6942 ,5973 ,4801 ,3210 ,2238 ,1700 ,1119 ,1045 ,96960 ,80800 ,62698 ,57217 ,41334 ,30297 ,24818 ,20694 ,17969 ,15162 ,12037 ,9196 ,6103 ,4231 ,3286 ,2208 ,2125 
Abdi,TD1402,Abdi,ABDI,<Null>,<Null>,Ouaddaï,TD14,Tchad,TD,80338 ,78089 ,158427 ,15422 ,12862 ,10090 ,9191 ,6638 ,5044 ,4733 ,4133 ,3341 ,2673 ,1972 ,1429 ,941 ,648 ,516 ,354 ,351 ,16111 ,13416 ,10300 ,9417 ,6805 ,4809 ,3339 ,2597 ,2503 ,2258 ,1943 ,1562 ,1044 ,728 ,553 ,364 ,340 ,31533 ,26278 ,20390 ,18608 ,13442 ,9853 ,8071 ,6730 ,5844 ,4931 ,3915 ,2991 ,1985 ,1376 ,1069 ,718 ,691 
Assoungha,TD1403,Assoungha,ASSOUNGHA,<Null>,<Null>,Ouaddaï,TD14,Tchad,TD,214703 ,208685 ,423388 ,41214 ,34373 ,26965 ,24564 ,17740 ,13480 ,12648 ,11046 ,8928 ,7144 ,5271 ,3820 ,2515 ,1733 ,1378 ,946 ,938 ,43057 ,35854 ,27528 ,25166 ,18185 ,12852 ,8922 ,6940 ,6689 ,6034 ,5191 ,4173 ,2790 ,1945 ,1477 ,973 ,909 ,84271 ,70226 ,54493 ,49729 ,35925 ,26332 ,21570 ,17986 ,15617 ,13178 ,10462 ,7993 ,5305 ,3678 ,2856 ,1919 ,1847 
Bahr-Azoum,TD1501,Bahr-Azoum,BAHR-AZOUM,<Null>,<Null>,Salamat,TD15,Tchad,TD,137329 ,134204 ,271533 ,26611 ,22067 ,17635 ,15814 ,11386 ,8724 ,8361 ,7247 ,5461 ,4182 ,3040 ,2204 ,1553 ,1110 ,844 ,561 ,529 ,27801 ,23018 ,18538 ,16681 ,11638 ,8057 ,5616 ,4348 ,4120 ,3675 ,3087 ,2484 ,1780 ,1286 ,931 ,596 ,548 ,54412 ,45085 ,36174 ,32495 ,23024 ,16781 ,13977 ,11595 ,9580 ,7857 ,6127 ,4688 ,3334 ,2396 ,1774 ,1157 ,1077 
Aboudéia,TD1502,Aboudeia,ABOUDEIA,<Null>,<Null>,Salamat,TD15,Tchad,TD,48748 ,47641 ,96389 ,9446 ,7833 ,6260 ,5614 ,4042 ,3097 ,2968 ,2573 ,1938 ,1484 ,1079 ,782 ,551 ,394 ,300 ,199 ,188 ,9869 ,8171 ,6581 ,5921 ,4131 ,2860 ,1994 ,1543 ,1463 ,1305 ,1096 ,882 ,632 ,457 ,330 ,212 ,194 ,19315 ,16004 ,12841 ,11535 ,8173 ,5957 ,4962 ,4116 ,3401 ,2789 ,2175 ,1664 ,1183 ,850 ,630 ,411 ,382 
Haraze-Mangueigne,TD1503,Haraze-Mangueigne,HARAZE-MANGUEIGNE,<Null>,<Null>,Salamat,TD15,Tchad,TD,41764 ,40814 ,82578 ,8093 ,6711 ,5363 ,4809 ,3463 ,2653 ,2543 ,2204 ,1661 ,1272 ,925 ,670 ,472 ,337 ,257 ,170 ,161 ,8455 ,7000 ,5638 ,5073 ,3540 ,2450 ,1708 ,1322 ,1253 ,1118 ,939 ,755 ,541 ,391 ,283 ,181 ,167 ,16548 ,13712 ,11002 ,9883 ,7002 ,5104 ,4251 ,3526 ,2914 ,2390 ,1863 ,1426 ,1014 ,729 ,540 ,352 ,328 
Tandjilé Est,TD1601,Tandjile Est,TANDJILE EST,<Null>,<Null>,Tandjilé,TD16,Tchad,TD,195692 ,187545 ,383237 ,37961 ,31018 ,24872 ,22091 ,16857 ,13242 ,11379 ,9511 ,7567 ,6059 ,4657 ,3520 ,2543 ,1804 ,1268 ,781 ,562 ,39658 ,32354 ,24961 ,22063 ,16965 ,12698 ,8644 ,6410 ,5539 ,4706 ,3889 ,3141 ,2453 ,1797 ,1106 ,634 ,527 ,77619 ,63371 ,49833 ,44155 ,33822 ,25940 ,20023 ,15921 ,13106 ,10766 ,8546 ,6661 ,4996 ,3601 ,2374 ,1415 ,1089 
Tandjile Ouest,TD1602,Tandjile Ouest,TANDJILE OUEST,<Null>,<Null>,Tandjilé,TD16,Tchad,TD,245361 ,235147 ,480508 ,47596 ,38890 ,31185 ,27698 ,21136 ,16603 ,14268 ,11925 ,9488 ,7597 ,5839 ,4413 ,3188 ,2262 ,1589 ,980 ,704 ,49724 ,40565 ,31296 ,27663 ,21271 ,15921 ,10838 ,8037 ,6945 ,5901 ,4876 ,3938 ,3076 ,2253 ,1387 ,795 ,661 ,97319 ,79455 ,62481 ,55362 ,42407 ,32524 ,25105 ,19962 ,16433 ,13499 ,10715 ,8351 ,6264 ,4515 ,2977 ,1775 ,1366 
Tandjilé Centre,TD1603,Tandjile Centre,TANDJILE CENTRE,<Null>,<Null>,Tandjilé,TD16,Tchad,TD,67634 ,64819 ,132453 ,13120 ,10720 ,8596 ,7635 ,5826 ,4577 ,3933 ,3287 ,2615 ,2094 ,1610 ,1217 ,879 ,623 ,438 ,270 ,194 ,13707 ,11182 ,8627 ,7626 ,5864 ,4389 ,2987 ,2215 ,1914 ,1627 ,1344 ,1085 ,848 ,621 ,382 ,219 ,182 ,26827 ,21902 ,17223 ,15261 ,11690 ,8965 ,6920 ,5503 ,4530 ,3721 ,2954 ,2302 ,1727 ,1245 ,821 ,489 ,376 
Biltine,TD1701,Biltine,BILTINE,<Null>,<Null>,Wadi Fira,TD17,Tchad,TD,127641 ,123328 ,250969 ,24911 ,20274 ,15402 ,14763 ,11236 ,8553 ,7325 ,6162 ,5125 ,4162 ,3084 ,2242 ,1463 ,1005 ,811 ,560 ,563 ,26025 ,21148 ,16172 ,15435 ,11446 ,7968 ,4923 ,3495 ,3422 ,3125 ,2713 ,2254 ,1685 ,1272 ,965 ,645 ,635 ,50936 ,41422 ,31574 ,30198 ,22682 ,16522 ,12248 ,9657 ,8547 ,7287 ,5797 ,4495 ,3148 ,2277 ,1777 ,1205 ,1198 
Dar-Tama,TD1702,Dar-Tama,DAR-TAMA,<Null>,<Null>,Wadi Fira,TD17,Tchad,TD,135442 ,130863 ,266305 ,26433 ,21513 ,16343 ,15665 ,11922 ,9076 ,7772 ,6539 ,5438 ,4417 ,3273 ,2379 ,1553 ,1067 ,861 ,594 ,597 ,27615 ,22440 ,17160 ,16378 ,12146 ,8455 ,5224 ,3708 ,3631 ,3316 ,2879 ,2391 ,1788 ,1350 ,1024 ,684 ,674 ,54049 ,43953 ,33503 ,32044 ,24068 ,17531 ,12997 ,10247 ,9070 ,7733 ,6151 ,4770 ,3340 ,2416 ,1886 ,1279 ,1271 
Kobé,TD1703,Kobe,KOBE,<Null>,<Null>,Wadi Fira,TD17,Tchad,TD,105505 ,101936 ,207441 ,20591 ,16758 ,12731 ,12203 ,9287 ,7070 ,6054 ,5093 ,4236 ,3440 ,2549 ,1853 ,1210 ,831 ,671 ,463 ,465 ,21511 ,17480 ,13367 ,12758 ,9461 ,6586 ,4069 ,2888 ,2829 ,2583 ,2242 ,1863 ,1392 ,1051 ,798 ,533 ,525 ,42102 ,34238 ,26098 ,24961 ,18748 ,13656 ,10124 ,7982 ,7065 ,6023 ,4791 ,3716 ,2602 ,1882 ,1469 ,996 ,990 
Mégri,TD1704,Megri,MEGRI,<Null>,<Null>,Wadi Fira,TD17,Tchad,TD,15267 ,14753 ,30020 ,2980 ,2425 ,1842 ,1766 ,1344 ,1023 ,876 ,737 ,613 ,498 ,369 ,268 ,175 ,120 ,97 ,67 ,67 ,3113 ,2530 ,1935 ,1846 ,1369 ,953 ,589 ,418 ,409 ,374 ,325 ,270 ,202 ,152 ,115 ,77 ,76 ,6093 ,4955 ,3777 ,3613 ,2713 ,1976 ,1465 ,1155 ,1022 ,872 ,693 ,538 ,377 ,272 ,213 ,144 ,143 
N'Djaména,TD1801,NDjamena,N'DJAMENA,<Null>,<Null>,N'Djamena,TD18,Tchad,TD,798001 ,794257 ,1592258 ,153729 ,126040 ,103810 ,92370 ,67726 ,52119 ,46733 ,39673 ,30956 ,24467 ,18634 ,13968 ,9997 ,7070 ,4975 ,3126 ,2608 ,165724 ,123724 ,108419 ,96249 ,70947 ,52133 ,37800 ,29382 ,25518 ,21804 ,18225 ,14651 ,10832 ,7802 ,5129 ,3113 ,2805 ,316915 ,259623 ,210596 ,187170 ,137602 ,103485 ,84050 ,68706 ,56143 ,45972 ,36594 ,28398 ,20662 ,14751 ,10028 ,6194 ,5370 
Barh-El-Gazel Sud,TD1901,Barh-El-Gazel Sud,BARH-EL-GAZEL SUD,<Null>,<Null>,Barh-El-Gazel,TD19,Tchad,TD,98084 ,107310 ,205394 ,19458 ,15796 ,10866 ,10493 ,8968 ,7201 ,5476 ,4419 ,3962 ,3398 ,2732 ,2070 ,1328 ,843 ,542 ,311 ,221 ,20328 ,16477 ,13126 ,13094 ,11173 ,8554 ,5201 ,3512 ,2885 ,2565 ,2716 ,2449 ,1816 ,1345 ,975 ,615 ,479 ,39785 ,32274 ,23993 ,23587 ,20141 ,15755 ,10678 ,7932 ,6847 ,5963 ,5448 ,4518 ,3144 ,2188 ,1516 ,926 ,700 
Barh-El-Gazel Nord,TD1902,Barh-El-Gazel Nord,BARH-EL-GAZEL NORD,<Null>,<Null>,Barh-El-Gazel,TD19,Tchad,TD,37450 ,40972 ,78422 ,7429 ,6031 ,4149 ,4007 ,3424 ,2750 ,2091 ,1687 ,1513 ,1297 ,1043 ,790 ,507 ,322 ,207 ,119 ,84 ,7762 ,6291 ,5012 ,4999 ,4266 ,3266 ,1986 ,1341 ,1101 ,979 ,1037 ,935 ,693 ,514 ,372 ,235 ,183 ,15191 ,12323 ,9161 ,9006 ,7690 ,6015 ,4077 ,3028 ,2614 ,2277 ,2080 ,1725 ,1200 ,836 ,579 ,354 ,267 
Barh-El-Gazel Ouest,TD1903,Barh-El-Gazel Ouest,BARH-EL-GAZEL OUEST,<Null>,<Null>,Barh-El-Gazel,TD19,Tchad,TD,42800 ,46827 ,89627 ,8491 ,6893 ,4742 ,4579 ,3913 ,3142 ,2390 ,1928 ,1729 ,1483 ,1192 ,903 ,579 ,368 ,236 ,136 ,96 ,8870 ,7190 ,5728 ,5714 ,4876 ,3732 ,2270 ,1533 ,1259 ,1119 ,1185 ,1068 ,792 ,587 ,426 ,269 ,209 ,17361 ,14083 ,10469 ,10293 ,8789 ,6875 ,4659 ,3461 ,2988 ,2602 ,2377 ,1972 ,1372 ,955 ,662 ,404 ,306 
Am-Djarass,TD2001,Am-Djarass,AM-DJARASS,<Null>,<Null>,Ennedi Est,TD20,Tchad,TD,54695 ,62313 ,117008 ,11083 ,9301 ,5325 ,5204 ,4922 ,4182 ,3307 ,2698 ,2284 ,1915 ,1607 ,1223 ,705 ,408 ,272 ,158 ,101 ,11579 ,9700 ,6576 ,6736 ,6415 ,5356 ,3934 ,2927 ,1937 ,1482 ,1563 ,1381 ,970 ,695 ,517 ,324 ,221 ,22661 ,19001 ,11901 ,11940 ,11336 ,9538 ,7240 ,5625 ,4221 ,3398 ,3171 ,2604 ,1675 ,1103 ,790 ,483 ,322 
Wadi Hawar,TD2002,Wadi Hawar,WADI HAWAR,<Null>,<Null>,Ennedi Est,TD20,Tchad,TD,19205 ,21885 ,41090 ,3892 ,3266 ,1870 ,1828 ,1728 ,1469 ,1161 ,947 ,802 ,672 ,565 ,429 ,247 ,143 ,95 ,55 ,36 ,4066 ,3407 ,2310 ,2366 ,2253 ,1881 ,1381 ,1028 ,680 ,521 ,549 ,485 ,341 ,244 ,182 ,114 ,77 ,7959 ,6673 ,4180 ,4194 ,3981 ,3350 ,2543 ,1975 ,1482 ,1193 ,1113 ,914 ,588 ,388 ,277 ,169 ,113 
Kimiti,TD2101,Kimiti,KIMITI,<Null>,<Null>,Sila,TD21,Tchad,TD,222387 ,222715 ,445102 ,41774 ,34321 ,29449 ,28137 ,19728 ,14141 ,12092 ,10296 ,9147 ,7592 ,5318 ,3689 ,2321 ,1537 ,1258 ,850 ,737 ,43642 ,35799 ,33914 ,30878 ,20648 ,13508 ,7987 ,5709 ,6418 ,6201 ,5554 ,4527 ,2939 ,1966 ,1402 ,878 ,745 ,85415 ,70120 ,63363 ,59015 ,40376 ,27649 ,20079 ,16005 ,15564 ,13793 ,10872 ,8216 ,5261 ,3503 ,2659 ,1728 ,1483 
Djourf Al Ahmar,TD2102,Djourf Al Ahmar,DJOURF AL AHMAR,<Null>,<Null>,Sila,TD21,Tchad,TD,59262 ,59352 ,118614 ,11132 ,9146 ,7848 ,7498 ,5257 ,3768 ,3222 ,2744 ,2437 ,2023 ,1417 ,983 ,619 ,410 ,335 ,226 ,197 ,11630 ,9540 ,9038 ,8229 ,5503 ,3600 ,2129 ,1521 ,1710 ,1653 ,1480 ,1206 ,783 ,524 ,373 ,234 ,199 ,22762 ,18686 ,16886 ,15727 ,10760 ,7368 ,5351 ,4265 ,4148 ,3676 ,2897 ,2189 ,1402 ,934 ,709 ,461 ,395 
Tibesti Est,TD2201,Tibesti Est,TIBESTI EST,<Null>,<Null>,Tibesti,TD22,Tchad,TD,10171 ,11160 ,21331 ,2077 ,1747 ,959 ,900 ,895 ,788 ,626 ,510 ,429 ,356 ,282 ,216 ,158 ,107 ,58 ,32 ,31 ,2170 ,1822 ,1186 ,1101 ,997 ,834 ,634 ,503 ,395 ,336 ,342 ,296 ,195 ,134 ,98 ,63 ,54 ,4248 ,3569 ,2145 ,2001 ,1892 ,1621 ,1260 ,1013 ,823 ,693 ,624 ,512 ,353 ,242 ,156 ,94 ,85 
Tibesti Ouest,TD2202,Tibesti Ouest,TIBESTI OUEST,<Null>,<Null>,Tibesti,TD22,Tchad,TD,7844 ,8608 ,16452 ,1602 ,1347 ,739 ,694 ,690 ,607 ,482 ,394 ,330 ,275 ,218 ,167 ,122 ,83 ,45 ,25 ,24 ,1674 ,1405 ,915 ,849 ,769 ,643 ,489 ,388 ,304 ,260 ,264 ,228 ,151 ,104 ,76 ,48 ,41 ,3276 ,2752 ,1654 ,1543 ,1460 ,1251 ,971 ,782 ,635 ,534 ,482 ,395 ,273 ,186 ,121 ,73 ,65 
Fada,TD2301,Fada,FADA,<Null>,<Null>,Ennedi Ouest,TD23,Tchad,TD,27137 ,30916 ,58053 ,5499 ,4614 ,2642 ,2582 ,2441 ,2075 ,1641 ,1338 ,1133 ,950 ,798 ,606 ,350 ,203 ,135 ,79 ,51 ,5745 ,4813 ,3263 ,3342 ,3182 ,2658 ,1951 ,1452 ,961 ,736 ,775 ,685 ,481 ,345 ,257 ,161 ,109 ,11244 ,9428 ,5905 ,5924 ,5624 ,4733 ,3592 ,2790 ,2094 ,1685 ,1573 ,1292 ,831 ,547 ,391 ,239 ,160 
Mourtcha,TD2303,Mourtcha,MOURTCHA,<Null>,<Null>,Ennedi Ouest,TD23,Tchad,TD,14612 ,16650 ,31262 ,2961 ,2485 ,1422 ,1391 ,1315 ,1117 ,883 ,721 ,610 ,512 ,429 ,327 ,188 ,109 ,73 ,42 ,27 ,3093 ,2592 ,1757 ,1800 ,1714 ,1431 ,1051 ,782 ,518 ,396 ,418 ,369 ,259 ,186 ,138 ,87 ,59 ,6054 ,5076 ,3179 ,3190 ,3029 ,2548 ,1934 ,1503 ,1128 ,908 ,847 ,695 ,447 ,295 ,211 ,129 ,86 
