Year,DJF,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ
2010,1.5,1.3,0.9,0.4,-0.1,-0.6,-1,-1.4,-1.6,-1.7,-1.7,-1.6
2011,-1.4,-1.1,-0.8,-0.6,-0.5,-0.4,-0.5,-0.7,-0.9,-1.1,-1.1,-1
2012,-0.8,-0.6,-0.5,-0.4,-0.2,0.1,0.3,0.3,0.3,0.2,0,-0.2
2013,-0.4,-0.3,-0.2,-0.2,-0.3,-0.3,-0.4,-0.4,-0.3,-0.2,-0.2,-0.3
2014,-0.4,-0.4,-0.2,0.1,0.3,0.2,0.1,0,0.2,0.4,0.6,0.7
2015,0.6,0.6,0.6,0.8,1,1.2,1.5,1.8,2.1,2.4,2.5,2.6
2016,2.5,2.2,1.7,1,0.5,0,-0.3,-0.6,-0.7,-0.7,-0.7,-0.6
2017,-0.3,-0.1,0.1,0.3,0.4,0.4,0.2,-0.1,-0.4,-0.7,-0.9,-1
2018,-0.9,-0.8,-0.6,-0.4,-0.1,0.1,0.1,0.2,0.4,0.7,0.9,0.8
2019,0.8,0.8,0.8,0.7,0.6,0.5,0.3,0.1,0.1,0.3,0.5,0.5
2020,0.5,0.6,0.5,0.3,0,-0.2,,,,,,